STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
1,AL,35004,28.98,27.06,18.23,12.48,12.09,1.15,5210
1,AL,35005,42.26,30.97,14.52,6.45,5.81,0,3100
1,AL,35006,35.83,27.5,15.83,10,10.83,0,1200
1,AL,35007,34.09,22.19,15.24,11.22,15.24,2.01,11940
1,AL,35010,45.76,26.17,11.25,6.7,7.84,2.28,7910
1,AL,35014,40.74,28.4,12.96,8.64,7.41,1.85,1620
1,AL,35016,39.41,24.26,14.87,9.54,10.1,1.82,7130
1,AL,35019,40.45,28.09,15.73,6.74,8.99,0,890
1,AL,35020,60.22,27.29,7.96,2.54,1.77,0.22,9050
1,AL,35022,33.06,24.8,16.43,10.41,13.27,2.04,9800
1,AL,35023,36.72,28.96,15.42,9.25,8.96,0.7,10050
1,AL,35031,41.61,28.32,15.03,8.04,6.29,0.7,2860
1,AL,35033,33.33,27.54,15.22,10.87,10.14,2.9,1380
1,AL,35034,50.36,26.62,11.51,5.76,5.76,0,1390
1,AL,35035,40.35,26.32,14.04,8.77,10.53,0,570
1,AL,35040,31.09,28.85,18.58,10.41,10.01,1.05,7590
1,AL,35042,40.45,25.91,14.55,8.64,9.55,0.91,2200
1,AL,35043,25.84,16.17,13.61,14,25.05,5.33,5070
1,AL,35044,45.42,26.47,12.75,7.19,7.19,0.98,3060
1,AL,35045,42.55,25.82,13.64,8.36,8.36,1.27,5500
1,AL,35046,37.02,25.11,14.04,9.79,12.34,1.7,2350
1,AL,35049,33.55,28.39,16.13,11.61,10.32,0,1550
1,AL,35051,38.6,22.49,12.46,9.73,13.07,3.65,3290
1,AL,35053,32.38,23.81,16.19,10.48,13.33,3.81,1050
1,AL,35054,34.07,20.88,14.29,11.54,15.38,3.85,1820
1,AL,35055,39.62,25.91,13.84,9.06,9.31,2.26,7950
1,AL,35057,38,25.71,13.99,9.45,10.59,2.27,5290
1,AL,35058,40.52,25.59,13.74,9,9,2.13,4220
1,AL,35060,56.25,31.25,12.5,0,0,0,160
1,AL,35061,48.44,28.13,14.06,4.69,4.69,0,640
1,AL,35062,36.02,23.29,16.15,11.18,12.11,1.24,3220
1,AL,35063,40,29.17,14.17,8.33,8.33,0,1200
1,AL,35064,51.63,28.6,10.47,4.88,4.42,0,4300
1,AL,35068,32.71,30.85,18.62,8.78,8.24,0.8,3760
1,AL,35071,29.95,24.33,16.18,11.36,15.51,2.67,7480
1,AL,35072,42.86,31.32,12.09,8.24,5.49,0,1820
1,AL,35073,39.78,33.33,13.98,7.53,5.38,0,930
1,AL,35077,42.42,28.41,13.44,8.45,6.72,0.58,5210
1,AL,35078,40.23,26.44,12.64,9.2,11.49,0,870
1,AL,35079,32.46,24.27,19.01,12.57,10.53,1.17,3420
1,AL,35080,27.04,18.11,15.82,13.52,22.19,3.32,7840
1,AL,35083,38.33,28.33,15.83,9.17,8.33,0,1200
1,AL,35085,39.41,27.65,15,8.53,8.53,0.88,3400
1,AL,35087,46.43,23.81,14.29,8.33,7.14,0,840
1,AL,35089,48,33.33,12,4,2.67,0,750
1,AL,35091,24.6,17.46,18.25,15.08,23.02,1.59,1260
1,AL,35094,36.25,25.28,15.74,9.38,11.13,2.23,6290
1,AL,35096,37.43,26.61,15.2,9.94,9.36,1.46,3420
1,AL,35097,33.77,25.97,19.48,11.69,9.09,0,770
1,AL,35098,41.07,25,12.5,10.71,10.71,0,560
1,AL,35111,28.26,21.52,17.79,13.49,16.79,2.15,6970
1,AL,35112,44.44,38.89,16.67,0,0,0,180
1,AL,35114,31.27,19.22,14.66,12.05,20.2,2.61,3070
1,AL,35115,44.62,24.62,13.46,7.5,8.46,1.35,5200
1,AL,35116,30.5,24,15,12,16,2.5,2000
1,AL,35117,26.87,23.88,17.54,12.69,16.42,2.61,2680
1,AL,35118,37.78,27.41,14.81,10.37,9.63,0,1350
1,AL,35120,33.88,25.04,17.35,11.13,11.46,1.15,6110
1,AL,35121,39.29,26.7,14.46,8.33,9.01,2.21,5880
1,AL,35124,28.82,21.57,15.17,10.83,18.33,5.29,11730
1,AL,35125,41.91,27.79,13.67,8.66,7.06,0.91,4390
1,AL,35126,33.16,26.11,16.42,11.26,12,1.05,9500
1,AL,35127,33.18,27.88,17.51,10.14,10.37,0.92,4340
1,AL,35128,34.19,23.65,14.29,10.54,14.29,3.04,4270
1,AL,35130,38.33,27.5,16.67,9.17,8.33,0,1200
1,AL,35131,39.19,29.73,15.54,8.11,7.43,0,1480
1,AL,35133,35.26,26.28,17.95,10.9,9.62,0,1560
1,AL,35135,32.1,23.46,18.52,11.11,14.81,0,810
